admin0,admin1
Afghanistan,Ghazni
Afghanistan,Nimroz
Afghanistan,Nuristan
Afghanistan,Uruzgan
Afghanistan,Kapisa
Afghanistan,Paktika
Afghanistan,Kunduz
Afghanistan,Hilmand
Afghanistan,Daykundi
Afghanistan,Zabul
Afghanistan,Kandahar
Afghanistan,Faryab
Afghanistan,Panjsher
Afghanistan,Jawzjan
Afghanistan,Bamyan
Afghanistan,Kabul
Afghanistan,Badghis
Afghanistan,Farah
Afghanistan,Paktya
Afghanistan,Sar-E-Pul
Afghanistan,Maidan Wardak
Afghanistan,Balkh
Afghanistan,Takhar
Afghanistan,Laghman
Afghanistan,Samangan
Afghanistan,Logar
Afghanistan,Kunar
Afghanistan,Badakhshan
Afghanistan,Baghlan
Afghanistan,Parwan
Afghanistan,Khost
Afghanistan,Hirat
Afghanistan,Nangarhar
Afghanistan,Ghor
Djibouti,Ali-Sabieh
Djibouti,Dikhil
Djibouti,Djibouti
Djibouti,Tadjourah
Djibouti,Obock
Djibouti,Arta
Iraq,Anbar
Iraq,Babylon
Iraq,Basrah
Iraq,Kerbala
Iraq,Missan
Iraq,Muthanna
Iraq,Najaf
Iraq,Diwaniya
Iraq,Salah Al-Din
Iraq,Kirkuk
Iraq,Thi-Qar
Iraq,Wassit
Iraq,Ninewa
Iraq,Erbil
Iraq,Dahuk
Iraq,Sulaymaniyah
Iraq,Diyala
Iraq,Baghdad-Resafa
Iraq,Baghdad-Karkh
Jordan,Jarash
Jordan,Zarqa
Jordan,Tafiela
Jordan,Zarqa
Jordan,Mafraq
Jordan,Zarqa
Jordan,Tafiela
Jordan,Tafiela
Jordan,Madaba
Jordan,Zarqa
Jordan,Tafiela
Jordan,Zarqa
Lebanon,North
Lebanon,Bekaa
Lebanon,Mont Liba
Lebanon,Beirut
Lebanon,Nabatiye
Lebanon,Nabatiye
Morocco,Tanger-Tetouan-Al Hoceima
Morocco,Oriental
Morocco,Fès-Meknès
Morocco,Rabat-Salé-Kénitra
Morocco,Béni Mellal-Khénifra
Morocco,Casablanca-Settat
Morocco,Marrakech-Safi
Morocco,Drâa-Tafilalet
Morocco,Souss-Massa
Morocco,Guelmim-Oued Noun
Morocco,Laayoune-Sakia El Hamra
Morocco,Eddakhla-Oued Eddahab
Libya,Ash Sharq
Libya,Al Gharb
Libya,Al Janoub
Occupied Palestinian territory,West Bank
Occupied Palestinian territory,Gaza Strip
Somalia,Banadir
Somalia,Galgadud
Somalia,Hiran
